md5	genreid	genre	moduleid	filename
0002387c325fe721a3c3f6d12a61a035	54	Chiptune	211422	cascada.s3m
0008fa0b086964341fe2503c756f0696	2	Electronic - Ambient	200345	c20g_-_myrskytorni_remix.xm
000d003142e84e7c4c2420d239487c1a	43	Soundtrack	60730	2ndsurvivor.xm
0010d5f6064c73e10d6ea99ade85c886	22	Hip-Hop	168853	pochemu.it
0018cecd0d9f7c7a02b7df815058c285	39	Electronic - Hardcore	164513	w_btnois.xm
001c62b815e2bd69e0593f81c3e8fcba	71	Trance (general)	34770	c-rohan.xm
00220796ed32190eeac7f655caa4146b	59	Piano	47177	k9_wakeu.xm
00226c0a075e6f053ea740409a2efc37	61	Pop - Synth	32965	aerobic.s3m
00241b33067364b748e4b4690e6c28c8	32	Funk	61211	vr_land.xm
0024cfc80ce877be9ad0675c3b16dbb5	61	Pop - Synth	52145	ml-stoma.it
0029e97020384465c7da55c84ffb125b	43	Soundtrack	53054	paljmt.it
002c433bff5df5fd5e712f46f46f2810	3	Electronic - Dance	51721	nothing.xm
00315b9a62256939dbe2794afaa53362	54	Chiptune	209028	externalden.xm
0032f1fa2522e487e953a95f6a931f54	52	Fantasy	190566	5pr1n6_-_an_aardvarks_bulwark3.it
003305a0cfe78cbc2aa5c5fd74cb5859	2	Electronic - Ambient	187538	trance_jax_-_rain.xm
003351a93a53c98a1a8173a184fd6922	8	Video Game	179121	bilouthm.mod
0033a9c3101ea544935d372a33fdfddf	54	Chiptune	163301	serpent_-_my_dream.xm
0034022728f9e35942c4046850ffa498	32	Funk	141735	starring_.xm
0035c58e2627f782d132c70ff66991d3	107	Easy Listening	34390	awarness.mod
003849db598061c9b92bbbe1d90aa576	62	Pop - Soft	55995	robric40.xm
0038992cd08597f1602f3d2bb4a5089a	7	Electronic - Techno	63000	xr-toxic.xm
0038ecd67d768bf57fdba2f49692a86f	10	Electronic - House	154874	jv_rvbmx.xm
003ffa598fa760e06f955083b6a89e66	21	Folk	210044	melodia_-_dorian_diversions.mod
0041f28f0523e82f188e9de53b40b236	2	Electronic - Ambient	34726	c-effect.xm
0042d48d7c288b390ad409aaebbaa549	10	Electronic - House	55152	sammy.mod
004438093897eb821a1dd9cd17cb05ec	54	Chiptune	187135	drjacko_-_drtacarna_-_sacramento_nights.it
0045c07dcb94d3a901b3777ff7e02b21	7	Electronic - Techno	54482	perskarv.xm
0045dcdb8ba9c7459c7ccba3bb0a7073	56	Ballad	183928	robric45.mod
0045df6131344624f22565bd4b1655d1	55	Demo Style	32350	_too_fast.mod
004ac2cf58958c199772659d6ff82cdf	54	Chiptune	207740	mahogany_-_rainy_headspace.it
004acbdc54d0a8a6b18a8c7932f86b8b	15	Rock - Soft	163782	willbe-shuttingdown.it
004e5b5ff7a059079b2fbe6a77c5581b	14	Rock - Hard	117253	dtl_rock.mod
004fafbfa4f789b59ad42cac1db8883e	48	Alternative	165493	b-curiou.s3m
0050e02c9edc7bfe96f4eb58956c5787	53	One Hour Compo	54618	reine.xm
0054b345d12ed1fcc7474e6c512ed200	52	Fantasy	174100	sorciere-de-letoile-rose.it
0057b3e0801940d4df86e838b68e2432	54	Chiptune	37904	df-phobo.mod
005c87ea84affd3655f421f528f04fea	32	Funk	169705	nula_-_brainstorming.mod
005fe838c623cf538b0a69ecb4bf6931	13	Rock (general)	43193	forever.xm
0060075f07100babeb7e6445cf7fdef8	32	Funk	75836	some_of_us.mod
0060a82269df8ea595d2d77e5a3c3705	54	Chiptune	137624	legend_became_myth.xm
0064d87fc873b552fbe69152a9b8d29d	36	Metal (general)	55910	sdmbrain.xm
00652a70e0dfd77fb150b6f78754028d	1	Electronic (general)	141138	sub_ocean.xm
0069de5762306852df2ed8b2ba129ae6	1	Electronic (general)	154404	kl_plastikf.it
006a5a5ad95d28445b6ce262a5b1e3b1	54	Chiptune	208463	caf1.mod
006a70e8787a50699967d4a346b030fa	13	Rock (general)	47088	K_TRANQ.S3M
006edbc14ced4241b2831482dc3f69f7	7	Electronic - Techno	57670	sock.it
006f06b2efa2368d33c076c36b5b0255	55	Demo Style	59275	vanahem.mod
006f1cfce2db65a752c97ea4600bc442	60	Electronic - Jungle	166427	azop_corp_denshabreakcore_.xm
00712c40f0af6d47a9a373ddc4cca874	41	Other	47291	hyo-wind.xm
00712d719cac34426c292919c7998cde	55	Demo Style	54756	remote.mod
00793e8cc5684573ed62008b13882cc4	3	Electronic - Dance	51441	outrun2k.xm
0079ed7f1518a3810a031cacd3bdf515	41	Other	99948	odyssey-part6.mod
0079f08c950b53d4a2de7054f982c4c8	56	Ballad	202537	robric417.xm
007a049e3426452d8c4652685167cb93	54	Chiptune	154931	am-fm_sip_futuretank.xm
007a47d484b242a0f99f25ea11598793	8	Video Game	175489	frozen-mainzik-2p.xm
007a623285fa377e362ef9c396ac8a2c	13	Rock (general)	114467	cool_spot_wipeout.mod
007e2e8a04b4bd7ee89f16a357fcc171	54	Chiptune	41394	dt_orn8.xm
007f5bf4d66b79bfcfc3fd429f29c2da	55	Demo Style	43690	glassbottle.mod
00853c43510559dba41aeec60d93154d	54	Chiptune	180908	galgox-wishful_thinking.xm
008791d757e63dae3d90226c68d792d4	3	Electronic - Dance	50923	nintendo.xm
0088323255f9e7f52e00c3fa719c3371	3	Electronic - Dance	34645	b13-look.s3m
